phage,numprot,host
Mycobacterium phage DaHudson,89,Mycobacterium
Mycobacterium phage Lesedi,89,Mycobacterium
Delftia phage RG-2014,89,Delftia
Gordonia phage Wizard,89,Gordonia
Gordonia phage Vivi2,89,Gordonia
Mycobacterium phage HelDan,89,Mycobacterium
Pseudomonas phage Kula,88,Pseudomonas
Pseudomonas phage PA26,88,Pseudomonas
Escherichia phage Seurat,88,Escherichia
Mycobacterium phage Chadwick,88,Mycobacterium
Pseudomonas phage PAE1,88,Pseudomonas
Mycobacterium phage Kampy,88,Mycobacterium
Pseudomonas phage Smee,88,Pseudomonas
Clostridium phage phiCDHM19,88,Clostridium
Mycobacterium phage Nhonho,88,Mycobacterium
Mycobacterium phage Chy5,88,Mycobacterium
Stx2 converting phage vB_EcoP_24B,88,Escherichia
Arthrobacter phage CapnMurica,88,Arthrobacter
Pseudomonas phage KPP12,88,Pseudomonas
Mycobacterium phage Marie,88,Mycobacterium
Mycobacterium phage Gadost,88,Mycobacterium
Pseudomonas phage Gallinipper,88,Pseudomonas
Mycobacterium phage Troll4,88,Mycobacterium
Mycobacterium phage ICleared,88,Mycobacterium
Pseudomonas phage Kraken,88,Pseudomonas
Mycobacterium phage Arbiter,88,Mycobacterium
Mycobacterium phage Iracema64,88,Mycobacterium
Pseudomonas phage LBL3,88,Pseudomonas
Lactococcus phage P087,88,Lactococcus
Mycobacterium phage Pukovnik,88,Mycobacterium
Pseudomonas phage Nessie,88,Pseudomonas
Mycobacterium phage Nova,88,Mycobacterium
Mycobacterium phage Holli,88,Mycobacterium
Mycobacterium phage Sabertooth,88,Mycobacterium
Mycobacterium phage Dhanush,88,Mycobacterium
Mycobacterium phage Gumball,88,Mycobacterium
Pseudomonas phage Poseidon,87,Pseudomonas
Mycobacterium phage Pinto,87,Mycobacterium
Myxococcus phage Mx8,87,Myxococcus
Mycobacterium phage Theia,87,Mycobacterium
Mycobacterium phage Caelakin,87,Mycobacterium
Mycobacterium phage LittleCherry,87,Mycobacterium
Salmonella phage Chi,87,Salmonella
Mycobacterium phage Twister,87,Mycobacterium
Escherichia phage Tls,87,Escherichia
Mycobacterium phage DD5,87,Mycobacterium
Escherichia phage phi191,87,Escherichia
Mycobacterium phage Nyxis,87,Mycobacterium
Mycobacterium phage TiroTheta9,87,Mycobacterium
Mycobacterium phage Bactobuster,87,Mycobacterium
Mycobacterium phage MeeZee,87,Mycobacterium
Mycobacterium phage Medusa,87,Mycobacterium
Mycobacterium phage QuinnKiro,87,Mycobacterium
Enterobacteria phage JenP2,87,Enterobacteria
Enterococcus phage BC611,87,Enterococcus
Gordonia phage Phinally,87,Gordonia
Mycobacterium phage Ardmore,87,Mycobacterium
Roseobacter phage RDJL Phi 1,87,Roseobacter
Mycobacterium phage Romney,87,Mycobacterium
Mycobacterium phage Eagle,87,Mycobacterium
Stx2-converting phage Stx2a_F403,87,Escherichia
Enterobacteria phage JenP1,87,Enterobacteria
Mycobacterium phage Swirley,87,Mycobacterium
Pseudomonas phage Nemo,87,Pseudomonas
Streptomyces phage R4,87,Streptomyces
Mycobacterium phage Bethlehem,87,Mycobacterium
Pseudomonas phage KPP22M2,86,Pseudomonas
Mycobacterium phage Cuco,86,Mycobacterium
Salmonella phage FSL SP-019,86,Salmonella
Mycobacterium phage Goose,86,Mycobacterium
Mycobacterium phage Conspiracy,86,Mycobacterium
Mycobacterium phage Butterscotch,86,Mycobacterium
Mycobacterium phage UnionJack,86,Mycobacterium
Mycobacterium phage Bxz2,86,Mycobacterium
Mycobacterium phage Turj99,86,Mycobacterium
Gordonia phage GTE6,86,Gordonia
Brucella phage BiPBO1,86,Brucella
Bacillus phage PM1,86,Bacillus
Dinoroseobacter phage DFL12phi1,86,Dinoroseobacter
Pseudomonas phage KPP22M3,86,Pseudomonas
Salmonella phage FSL SP-058,86,Salmonella
Mycobacterium phage Peaches,86,Mycobacterium
Enterobacteria phage JenK1,86,Enterobacteria
Aeromonas phage pAh6-C,86,Aeromonas
Mycobacterium phage Alvin,86,Mycobacterium
Paenibacillus phage Vegas,86,Paenibacillus
Pseudomonas phage KPP22,86,Pseudomonas
Pseudomonas phage YH30,86,Pseudomonas
Mycobacterium phage Burger,86,Mycobacterium
Stx2-converting phage Stx2a_F723,86,Escherichia
Mycobacterium phage Texage,86,Mycobacterium
Polaribacter phage P12002S,86,Polaribacter
Mycobacterium phage Solon,86,Mycobacterium
Pseudomonas phage R18,86,Pseudomonas
Mycobacterium phage Arturo,86,Mycobacterium
Mycobacterium phage Adjutor,86,Mycobacterium
Mycobacterium phage Rebeuca,86,Mycobacterium
Mycobacterium phage Shaka,86,Mycobacterium
Mycobacterium phage 32HC,86,Mycobacterium
Mycobacterium phage BillKnuckles,86,Mycobacterium
Pseudomonas phage KPP22M1,86,Pseudomonas
Paenibacillus phage Vadim,86,Paenibacillus
Achromobacter phage phiAxp-2,86,Achromobacter
Bacillus phage IEBH,86,Bacillus
Gordonia phage Blueberry,86,Gordonia
Lactobacillus phage LBR48,86,Lactobacillus
Moraxella phage Mcat28,86,Moraxella
Mycobacterium phage Pepe,86,Mycobacterium
Clostridium phage phiCTP1,86,Clostridium
Paenibacillus phage Diane,86,Paenibacillus
Mycobacterium phage Evanesce,85,Mycobacterium
Mycobacterium phage Vix,85,Mycobacterium
Mycobacterium phage Doom,85,Mycobacterium
Escherichia phage PA8,85,Escherichia
Mycobacterium phage Tiger,85,Mycobacterium
Acinetobacter phage YMC11/12/R1215,85,Acinetobacter
Gordonia phage BaxterFox,85,Gordonia
Acinetobacter phage AB1,85,Acinetobacter
Mycobacterium phage 33D,85,Mycobacterium
Mycobacterium phage Wile,85,Mycobacterium
Mycobacterium phage Bxb1,85,Mycobacterium
Mycobacterium phage Microwolf,85,Mycobacterium
Mycobacterium phage Phoxy,85,Mycobacterium
Dinoroseobacter phage vBDshPR2C,85,Dinoroseobacter
Mycobacterium phage Timshel,85,Mycobacterium
Rhodococcus phage REQ1,85,Rhodococcus
Acinetobacter phage YMC11/12/R2315,85,Acinetobacter
Gordonia phage Yeezy,85,Gordonia
Mycobacterium phage Jobu08,85,Mycobacterium
Mycobacterium phage JHC117,85,Mycobacterium
Enterobacteria phage BP-4795,85,Enterobacteria
Pseudomonas phage Triton,84,Pseudomonas
Paenibacillus phage Harrison,84,Paenibacillus
Paenibacillus phage Hayley,84,Paenibacillus
Mycobacterium phage Jovo,84,Mycobacterium
Mycobacterium phage Backyardigan,84,Mycobacterium
Acinetobacter phage YMC-13-01-C62,84,Acinetobacter
Salmonella phage FSL SP-099,84,Salmonella
Stx2-converting phage Stx2a_F349,84,Escherichia
Escherichia phage PA2,84,Escherichia
Mycobacterium phage HamSlice,84,Mycobacterium
Rhodococcus phage ReqiPine5,84,Rhodococcus
Streptococcus phage phiD12,84,Streptococcus
Escherichia phage Pollock,84,Escherichia
Mycobacterium phage OBUpride,84,Mycobacterium
Mycobacterium phage HH92,84,Mycobacterium
Mycobacterium phage Sheen,84,Mycobacterium
Mycobacterium phage HINdeR,84,Mycobacterium
Paenibacillus phage Paisley,84,Paenibacillus
Salmonella phage 9NA,84,Salmonella
Stx2-converting phage Stx2a_F451,84,Escherichia
Xanthomonas phage Xp15,84,Xanthomonas
Clostridium phage CDMH1,84,Clostridium
Mycobacterium phage Kinbote,84,Mycobacterium
Mycobacterium phage Che9c,84,Mycobacterium
Tsukamurella phage TPA4,84,Tsukamurella
Gordonia phage Nymphadora,84,Gordonia
Mycobacterium phage Farber,84,Mycobacterium
Enterobacteria phage Min27,83,Enterobacteria
Citrobacter phage CVT22,83,Citrobacter
Stx2-converting phage Stx2a_WGPS4,83,Escherichia
Gordonia phage UmaThurman,83,Gordonia
Aeromonas phage vB_AsaM-56,83,Aeromonas
Escherichia phage vB_EcoP_PhAPEC5,83,Escherichia
Sinorhizobium phage PBC5,83,Sinorhizobium
Mycobacterium phage Marcell,83,Mycobacterium
Pseudomonas phage vB_PaeP_C2-10_Ab09,83,Pseudomonas
Mycobacterium phage WIVsmall,83,Mycobacterium
Mannheimia phage vB_MhS_3927AP1,83,Mannheimia
Enterobacter phage F20,83,Enterobacter
Escherichia phage vB_EcoP_PhAPEC7,83,Escherichia
Mycobacterium phage Methuselah,83,Mycobacterium
Burkholderia phage phi1026b,83,Burkholderia
Shigella phage pSf-2,83,Shigella
Enterobacteria phage VT2phi_272,83,Enterobacteria
Salmonella phage phSE-2,83,Salmonella
Salmonella phage FSL SP-126,83,Salmonella
Arthrobacter phage Rings,83,Arthrobacter
Salmonella phage phSE-5,83,Salmonella
Arthrobacter phage SorJuana,82,Arthrobacter
Escherichia phage ECBP1,82,Escherichia
Arthrobacter phage Gorgeous,82,Arthrobacter
Leuconostoc phage LLC-1,82,Leuconostoc
Mycobacterium phage George,82,Mycobacterium
Clostridium phage phi8074-B1,82,Clostridium
Gordonia phage GAL1,82,Gordonia
Acinetobacter phage IME-AB2,82,Acinetobacter
Mycobacterium phage BigNuz,82,Mycobacterium
Edwardsiella phage GF-2,82,Edwardsiella
Polaribacter phage P12002L,82,Polaribacter
Rhodococcus phage REQ2,82,Rhodococcus
Rhizobium phage RHEph06,82,Rhizobium
Salmonella phage FSL SP-076,82,Salmonella
Escherichia phage Jk06,82,Escherichia
Arthrobacter phage Amigo,82,Arthrobacter
Ruegeria phage DSS3-P1,82,Ruegeria
Lactococcus phage P162,82,Lactococcus
Acinetobacter phage phiAC-1,82,Acinetobacter
Arthrobacter phage Anansi,82,Arthrobacter
Xanthomonas phage vB_XveM_DIBBI,81,Xanthomonas
Rhizobium phage RHEph04,81,Rhizobium
Staphylococcus phage 187,81,Staphylococcus
Burkholderia phage Bcep176,81,Burkholderia
Mycobacterium phage PBI1,81,Mycobacterium
Stx2-converting phage 86,81,Escherichia
Streptomyces phage phiELB20,81,Streptomyces
Clostridium phage phiMMP01,81,Clostridium
Mycobacterium phage Qyrzula,81,Mycobacterium
Escherichia phage bV_EcoS_AHS24,81,Escherichia
Leptospira phage LE1,81,Leptospira
Mycobacterium phage Phlei,81,Mycobacterium
Pseudomonas phage PaMx11,81,Pseudomonas
Mycobacterium phage U2,81,Mycobacterium
Pseudomonas phage POR1,81,Pseudomonas
Mycobacterium phage Shipwreck,81,Mycobacterium
Silicibacter phage DSS3phi2,81,Silicibacter
Acinetobacter phage YMC11/11/R3177,80,Acinetobacter
Gordonia phage Howe,80,Gordonia
Enterobacteria phage ES18,80,Enterobacteria
Cellulophaga phage phi3ST:2,80,Cellulophaga
Acinetobacter phage Ab105-2phi,80,Acinetobacter
Achromobacter phage phiAxp-3,80,Achromobacter
Vibrio phage VpKK5,80,Vibrio
Enterobacteria phage UAB_Phi20,80,Enterobacteria
Mycobacterium phage Severus,80,Mycobacterium
Gordonia phage Obliviate,80,Gordonia
Gordonia phage Kita,80,Gordonia
Enterobacteria phage 2851,80,Enterobacteria
Escherichia phage EC1-UPM,80,Escherichia
Riemerella phage RAP44,80,Riemerella
Shigella phage Shfl1,80,Shigella
Cellulophaga phage phi38:2,80,Cellulophaga
Bacillus phage Mgbh1,80,Bacillus
Pseudomonas phage JBD44,80,Pseudomonas
Lactococcus phage P118,80,Lactococcus
Escherichia phage JMPW2,80,Escherichia
Salmonella phage 22,80,Salmonella
Listeria phage B054,80,Listeria
Enterobacter phage Enc34,80,Enterobacter
Enterobacteria phage T1,80,Enterobacteria
Salmonella phage vB_SosS_Oslo,79,Salmonella
Escherichia phage P13803,79,Escherichia
Escherichia phage P13771,79,Escherichia
Mycobacterium phage Malithi,79,Mycobacterium
Staphylococcus phage 42E,79,Staphylococcus
Escherichia phage P8983,79,Escherichia
Arthrobacter phage BarretLemon,79,Arthrobacter
Pseudomonas phage PS-1,79,Pseudomonas
Shigella phage POCJ13,79,Shigella
Mannheimia phage vB_MhS_1152AP2,79,Mannheimia
Mycobacterium phage Chy1,79,Mycobacterium
Bacillus phage phiS58,79,Bacillus
Escherichia phage P13374,79,Escherichia
Staphylococcus phage 85,79,Staphylococcus
Sulfitobacter phage EE36phi1,79,Sulfitobacter
Escherichia phage vB_EcoP_G7C,79,Escherichia
Gordonia phage Vendetta,79,Gordonia
Staphylococcus phage 53,79,Staphylococcus
Gordonia phage Splinter,79,Gordonia
Mycobacterium phage Enkosi,79,Mycobacterium
Escherichia phage P14437,79,Escherichia
Vibrio phage JA-1,79,Vibrio
Mannheimia phage vB_MhS_535AP2,79,Mannheimia
Lactobacillus phage Ldl1,79,Lactobacillus
Clostridium phage phiCD119 (strain Clostridium difficile/United States/Govind/2006),79,Clostridium
Staphylococcus phage 96,79,Staphylococcus
Vibrio phage VCO139,79,Vibrio
Klebsiella phage KP36,79,Klebsiella
Escherichia phage JLK-2012,79,Escherichia
Pseudomonas phage PAJU2,79,Pseudomonas
Clavibacter phage CN1A,78,Clavibacter
Mycobacterium phage Babsiella,78,Mycobacterium
Bacillus phage Riggi,78,Bacillus
Mycobacterium phage D29,78,Mycobacterium
Bacillus phage Andromeda,78,Bacillus
Klebsiella phage PKP126,78,Klebsiella
Burkholderia phage AH2,78,Burkholderia
Gordonia phage Guacamole,78,Gordonia
Escherichia phage ADB-2,78,Escherichia
Escherichia phage bV_EcoS_AHP24,78,Escherichia
Enterobacterio phage phiKP26,78,Enterobacterio
Arthrobacter phage TaeYoung,78,Arthrobacter
Mycobacterium phage Rockstar,78,Mycobacterium
Enterobacteria phage vB_EcoS_ACG-M12,78,Enterobacteria
Flavobacterium phage FpV21,78,Flavobacterium
Tsukamurella phage TPA2,78,Tsukamurella
Silicibacter phage DSS3-P1,78,Silicibacter
Lactococcus phage P078,78,Lactococcus
Streptomyces phage Xkcd426,78,Streptomyces
Escherichia phage JMPW1,78,Escherichia
Stx2-converting phage Stx2a_WGPS8,78,Escherichia
Mycobacterium phage Brusacoram,78,Mycobacterium
Stx2-converting phage Stx2a_WGPS6,78,Escherichia
Salmonella phage 34,78,Salmonella
Bacillus phage Gemini,78,Bacillus
Bacillus phage Blastoid,78,Bacillus
Mycobacterium phage Donovan,78,Mycobacterium
Aeromonas phage pIS4-A,78,Aeromonas
Mannheimia phage vB_MhS_587AP2,77,Mannheimia
Pseudomonas phage YuA,77,Pseudomonas
Xylella phage Sano,77,Xylella
Staphylococcus phage X2,77,Staphylococcus
Vibrio phage pYD38-A,77,Vibrio
Mycobacterium phage Jebeks,77,Mycobacterium
Staphylococcus phage 37,77,Staphylococcus
Clostridium phage phiCT9441A,77,Clostridium
Arthrobacter phage Martha,77,Arthrobacter
Staphylococcus phage 55,77,Staphylococcus
Staphylococcus phage EW,77,Staphylococcus
Mycobacterium phage Phayonce,77,Mycobacterium
Streptomyces phage Sujidade,77,Streptomyces
Bacillus phage Glittering,77,Bacillus
Arthrobacter phage Sonny,77,Arthrobacter
Paenibacillus phage Xenia,77,Paenibacillus
Mycobacterium phage Giles,77,Mycobacterium
Lactobacillus phage JCL1032,77,Lactobacillus
Pneumococcus phage Dp-1,77,Pneumococcus
Thermobifida phage P1312,77,Thermobifida
Microbacterium phage Min1,77,Microbacterium
Pseudomonas phage MP1412,77,Pseudomonas
Acinetobacter phage Ab105-3phi,77,Acinetobacter
Mycobacterium phage Fishburne,77,Mycobacterium
Enterobacter phage EcP1,77,Enterobacter
Burkholderia phage Bcep22,77,Burkholderia
Stx2-converting phage 1717,77,Escherichia
Actinoplanes phage phiAsp2,76,Actinoplanes
Pseudomonas phage vB_PaeS_PAO1_Ab18,76,Pseudomonas
Bacillus phage Finn,76,Bacillus
Pseudomonas phage AAT-1,76,Pseudomonas
Klebsiella phage Sushi,76,Klebsiella
Burkholderia phage BcepIL02,76,Burkholderia
Shigella phage 75/02 Stx,76,Shigella
Streptomyces phage Zemlya,76,Streptomyces
Vibrio phage H188,76,Vibrio
Lactococcus phage 1706,76,Lactococcus
Mycobacterium phage island3,76,Mycobacterium
Loktanella phage pCB2051-A,76,Loktanella
Stx2-converting phage Stx2a_F765,76,Escherichia
Salmonella phage BP12C,76,Salmonella
Staphylococcus phage 69,76,Staphylococcus
Pseudomonas phage O4,76,Pseudomonas
Clostridium phage phiMMP02,76,Clostridium
Streptomyces phage Danzina,76,Streptomyces
Escherichia phage bV_EcoS_AHP42,76,Escherichia
Streptomyces phage Hydra,76,Streptomyces
Escherichia phage HK639,76,Escherichia
Bacillus phage Curly,76,Bacillus
Bacillus phage BMBtpLA,76,Bacillus
Clostridium phage phiCD505,76,Clostridium
Lactococcus phage P092,76,Lactococcus
Bdellovibrio phage phi1422,76,Bdellovibrio
Roseobacter phage RDJL Phi 2,76,Roseobacter
Salmonella phage BP63,76,Salmonella
Streptomyces phage Verse,75,Streptomyces
Burkholderia phage BcepMigl,75,Burkholderia
Vibrio phage douglas 12A4,75,Vibrio
Enterobacteria phage phiEcoM-GJ1,75,Enterobacteria
Escherichia phage C119,75,Escherichia
Enterobacteria phage VT1-Sakai,75,Enterobacteria
Streptomyces phage Izzy,75,Streptomyces
Staphylococcus phage 80alpha,75,Staphylococcus
Sulfitobacter phage phiCB2047-B,75,Sulfitobacter
Enterobacteria phage Mu,75,Enterobacteria
Rhizobium phage RHEph05,75,Rhizobium
Pseudomonas phage PaMx74,75,Pseudomonas
Gordonia phage BetterKatz,75,Gordonia
Streptomyces phage Amela,75,Streptomyces
Burkholderia phage BcepGomr,75,Burkholderia
Pseudomonas phage UFV-P2,75,Pseudomonas
Salmonella phage 25,75,Salmonella
Clostridium phage phiCD27,75,Clostridium
Pseudoalteromonas Phage H103,75,Pseudoalteromonas
Shewanella sp. phage 1/44,75,Shewanella
Escherichia phage Rtp,75,Escherichia
Flavobacterium phage FCL-2,75,Flavobacterium
Enterobacteria phage YYZ-2008,75,Enterobacteria
Flavobacterium phage FpV4,75,Flavobacterium
Staphylococcus phage 29,75,Staphylococcus
Streptococcus phage M102,75,Streptococcus
Streptomyces phage Lika,75,Streptomyces
Enterobacterial phage mEp213,74,Enterobacterial
Pseudomonas phage PaMx25,74,Pseudomonas
Staphylococcus phage 92,74,Staphylococcus
Bacillus phage Eoghan,74,Bacillus
Staphylococcus phage StB12,74,Staphylococcus
Pseudomonas phage PaMx28,74,Pseudomonas
Lactococcus phage bIL170,74,Lactococcus
Vibrio phage pYD21-A,74,Vibrio
Escherichia phage phiON-2011,74,Escherichia
Staphylococcus phage ROSA,74,Staphylococcus
Gordonia phage SoilAssassin,74,Gordonia
Mycobacterium phage Brujita,74,Mycobacterium
Gordonia phage Attis,74,Gordonia
Bacillus phage Taylor,74,Bacillus
Enterobacteria phage vB_EcoS_Rogue1,74,Enterobacteria
Escherichia phage bV_EcoS_AKS96,74,Escherichia
Puniceispirillum phage HMO-2011,74,Puniceispirillum
Synechococcus phage S-CBP42,74,Synechococcus
Synechococcus phage S-CBP3,74,Synechococcus
Escherichia phage EB49,74,Escherichia
Arthrobacter phage Brent,74,Arthrobacter
Vibrio phage jenny 12G5,74,Vibrio
Shigella phage Ss-VASD,74,Shigella
Enterococcus phage phiFL1C,74,Enterococcus
Salmonella phage iEPS5,74,Salmonella
Clavibacter phage CMP1,74,Clavibacter
Bacillus phage Gamma,73,Bacillus
Streptomyces phage Lannister,73,Streptomyces
Burkholderia phage BcepB1A,73,Burkholderia
Mycobacterium phage Chy4,73,Mycobacterium
Streptomyces phage Aaronocolus,73,Streptomyces
Listeria phage LP-030-3,73,Listeria
Sulfitobacter phage pCB2047-C,73,Sulfitobacter
Burkholderia phage BcepNazgul,73,Burkholderia
Pseudomonas phage PhiCHU,73,Pseudomonas
Mycobacterium phage vB_MapS_FF47,73,Mycobacterium
Mycobacterium phage BTCU-1,73,Mycobacterium
Salmonella phage epsilon34,73,Salmonella
Mycobacterium phage RhynO,73,Mycobacterium
Streptococcus phage EJ-1,73,Streptococcus
Arthrobacter phage Jawnski,73,Arthrobacter
Mycobacterium phage Pipsqueaks,73,Mycobacterium
Burkholderia phage DC1,73,Burkholderia
Pseudomonas phage YMC11/07/P54_PAE_BP,73,Pseudomonas
Pseudomonas phage YMC/01/01/P52_PAE_BP,72,Pseudomonas
Pseudomonas phage PaP3,72,Pseudomonas
Klebsiella phage KLPN1,72,Klebsiella
Pseudomonas phage tf,72,Pseudomonas
Staphylococcus phage 47,72,Staphylococcus
Sinorhizobium phage phiLM21,72,Sinorhizobium
Salmonella phage SPN19,72,Salmonella
Sulfitobacter phage pCB2047-A,72,Sulfitobacter
Enterobacteria phage N4,72,Enterobacteria
Mycobacterium phage Xerxes,72,Mycobacterium
Staphylococcus phage 88,72,Staphylococcus
Streptomyces phage phiSAJS1,72,Streptomyces
Escherichia phage TL-2011c,72,Escherichia
Streptomyces phage phiHau3,72,Streptomyces
Streptomyces phage Caliburn,72,Streptomyces
Staphylococcus phage 71,72,Staphylococcus
Klebsiella phage 1513,72,Klebsiella
Listeria phage A118,72,Listeria
Burkholderia phage phiE125,72,Burkholderia
Bacillus phage Waukesha92,72,Bacillus
Vibrio phage ICP2,72,Vibrio
Listeria phage vB_LmoS_293,72,Listeria
Streptomyces phage phiCAM,72,Streptomyces
Xylella phage Salvo,72,Xylella
Escherichia phage e4/1c,72,Escherichia
Psychrobacter phage pOW20-A,71,Psychrobacter
Vibrio phage CP-T1,71,Vibrio
Mycobacterium phage Muddy,71,Mycobacterium
Gordonia phage Gsput1,71,Gordonia
Enterobacteria phage HK140,71,Enterobacteria
Fusobacterium phage Funu2,71,Fusobacterium
Salmonella phage FSLSP030,71,Salmonella
Mycobacterium phage Carcharodon,71,Mycobacterium
Enterobacteria phage 9g,71,Enterobacteria
Edwardsiella phage PEi21,71,Edwardsiella
Gordonia phage Utz,71,Gordonia
Burkholderia phage Bcep1,71,Burkholderia
Salmonella phage FSL SP-039,71,Salmonella
Pseudomonas phage DL54,71,Pseudomonas
Salmonella phage SETP13,71,Salmonella
Vibrio phage VP882,71,Vibrio
Gordonia phage Schwabeltier,71,Gordonia
Streptomyces phage TP1604,71,Streptomyces
Salmonella phage FSL SP-124,71,Salmonella
Pseudomonas phage vB_PaeP_C2-10_Ab22,71,Pseudomonas
Pseudomonas phage H66,71,Pseudomonas
Burkholderia phage phi6442,71,Burkholderia
Vibrio phage 24,71,Vibrio
Salmonella phage SPN3UB,71,Salmonella
Acidithiobacillus phage AcaML1,71,Acidithiobacillus
Sulfitobacter phage NYA-2014a,71,Sulfitobacter
Salmonella phage vB_SemP_Emek,70,Salmonella
Listeria phage LP-101,70,Listeria
Mycobacterium phage MichelleMyBell,70,Mycobacterium
Escherichia phage 1720a-02,70,Escherichia
Enterococcus phage IME-EFm5,70,Enterococcus
Staphylococcus phage phiMR25,70,Staphylococcus
Escherichia phage Rac-SA53,70,Escherichia
Gordonia phage Lucky10,70,Gordonia
Pseudomonas phage F116,70,Pseudomonas
Vibrio phage ICP2_2011_A,70,Vibrio
Burkholderia phage BcepNY3,70,Burkholderia
Streptomyces phage Maih,70,Streptomyces
Enterobacteria phage Phi75,70,Enterobacteria
Enterococcus phage IME-EFm1,70,Enterococcus
Shewanella sp. phage 3/49,70,Shewanella
Stx2-converting phage Stx2a_WGPS9,70,Escherichia
Streptococcus phage JX01,70,Streptococcus
Aeromonas phage Aes516,70,Aeromonas
Staphylococcus phage phiJB,70,Staphylococcus
Streptomyces phage YDN12,70,Streptomyces
Salmonella phage FSLSP088,70,Salmonella
Enterococcus phage vB_IME197,70,Enterococcus
Salinivibrio phage CW02,70,Salinivibrio
Proteus phage pPM_01,70,Proteus
Pseudomonas phage PaP4,70,Pseudomonas
Enterobacteria phage K1F,69,Enterobacteria
Enterobacteria phage HK629,69,Enterobacteria
Pseudomonas phage phi297,69,Pseudomonas
Shigella phage Sf6,69,Shigella
Salmonella phage SETP7,69,Salmonella
Enterobacteria phage HK630,69,Enterobacteria
Mycobacterium phage Xeno,69,Mycobacterium
Pseudomonas phage phi1,69,Pseudomonas
Salmonella phage Jersey,69,Salmonella
Salmonella phage SEN34,69,Salmonella
Shewanella sp. phage 1/41,69,Shewanella
Streptococcus phage phi30c,69,Streptococcus
Enterococcus phage EfaCPT1,69,Enterococcus
Enterobacteria phage mEp043 c-1,69,Enterobacteria
Enterococcus phage IME_EF3,69,Enterococcus
Staphylococcus phage phiETA2,69,Staphylococcus
Enterobacteria phage HK225,69,Enterobacteria
Pseudomonas phage vB_PaeP_Tr60_Ab31,69,Pseudomonas
Staphylococcus phage 77,69,Staphylococcus
Streptococcus pyogenes phage T12,69,Streptococcus
Pseudomonas phage phiIBB-PAA2,69,Pseudomonas
Staphylococcus phage StauST398-3,69,Staphylococcus
Staphylococcus phage StauST398-1,69,Staphylococcus
Staphylococcus phage P954,69,Staphylococcus
Listeria phage LP-030-2,69,Listeria
Serratia phage Eta,69,Serratia
Staphylococcus phage CNPx,69,Staphylococcus
Mycobacterium phage Redi,69,Mycobacterium
Paenibacillus phage Fern,68,Paenibacillus
Klebsiella phage JD001,68,Klebsiella
Nocardia phage NBR1,68,Nocardia
Pectobacterium phage ZF40,68,Pectobacterium
Staphylococcus phage PH15,68,Staphylococcus
Moraxella phage Mcat5,68,Moraxella
Rhizobium phage RR1-A,68,Rhizobium
Staphylococcus phage phiETA3,68,Staphylococcus
Pseudomonas phage phiPto-bp6g,68,Pseudomonas
Pseudomonas phage MR299-2,68,Pseudomonas
Yersinia phage PY54,68,Yersinia
Paenibacillus phage Willow,68,Paenibacillus
Arthrobacter phage vB_ArS-ArV2,68,Arthrobacter
Gordonia phage GMA4,68,Gordonia
Bacteroides phage B124-14,68,Bacteroides
Paenibacillus phage phiIBB_Pl23,68,Paenibacillus
Gordonia phage Cozz,68,Gordonia
Croceibacter phage P2559S,68,Croceibacter
Gordonia phage GMA1,68,Gordonia
Streptococcus phage 20617,68,Streptococcus
Pseudomonas phage LUZ24,68,Pseudomonas
Enterococcus phage AUEF3,68,Enterococcus
Staphylococcus phage phinm4,68,Staphylococcus
Staphylococcus phage phiSa119,68,Staphylococcus
Mycobacterium phage Charlie,68,Mycobacterium
Erwinia phage phiEt88,68,Erwinia
Salmonella phage g341c,68,Salmonella
Vibrio phage VpV262,67,Vibrio
Mycobacterium phage Cambiare,67,Mycobacterium
Enterobacteria phage HK106,67,Enterobacteria
Aurantimonas phage AmM-1,67,Aurantimonas
Enterobacteria phage SSL2009a,67,Enterobacteria
Bacillus phage phi4J1,67,Bacillus
Gordonia phage Emalyn,67,Gordonia
Vibrio phage vB_VchM-138,67,Vibrio
Gordonia phage Bowser,67,Gordonia
Enterobacteria phage HK633,67,Enterobacteria
Staphylococcus phage phi11,67,Staphylococcus
Staphylococcus phage B236,67,Staphylococcus
Staphylococcus phage tp310-2,67,Staphylococcus
Enterobacteria phage mEpX2,67,Enterobacteria
Clostridium phage phiCT19406A,67,Clostridium
Clostridium phage phiCTC2A,67,Clostridium
Salmonella phage SE1,67,Salmonella
Paenibacillus phage PG1,67,Paenibacillus
Mycobacterium phage MOOREtheMARYer,67,Mycobacterium
Mycobacterium phage Phrann,67,Mycobacterium
Mycobacterium phage SkinnyPete,67,Mycobacterium
Staphylococcus phage phiMR11,67,Staphylococcus
Skermania phage SPI1,67,Skermania
Shewanella phage Spp001,67,Shewanella
Vibrio phage phi 2,67,Vibrio
Brochothrix phage BL3,67,Brochothrix
Vibrio phage X29,67,Vibrio
Staphylococcus phage 3A,67,Staphylococcus
Pseudomonas phage PPpW-3,66,Pseudomonas
Staphylococcus phage JS01,66,Staphylococcus
Mycobacterium phage Panchino,66,Mycobacterium
Rhodococcus phage RER2,66,Rhodococcus
Clostridium phage phiCT19406B,66,Clostridium
Rhodococcus phage CosmicSans,66,Rhodococcus
Streptococcus phage LYGO9,66,Streptococcus
Bacillus phage BalMu-1,66,Bacillus
Enterobacteria phage Sf101,66,Enterobacteria
Salmonella phage vB_SenS_AG11,66,Salmonella
Staphylococcus phage phinm2,66,Staphylococcus
